id,streetName,latitude,longitude
223,Carrer de Bonavista,41.398311,2.159865
224,Girona,41.399945,2.164389
225,Mallorca,41.384956,2.150814
226,Montmany,41.403465,2.161096
227,Torrent de Les Flors,41.407837,2.158678
228,Pl. Del Nord,41.40694,2.155794
229,Carrer de la Santacreu,41.405107,2.156874
230,C. De Nil Fabra,41.405986,2.151633
231,Pi i Margall,41.407202,2.163476
232,Vilà i Vilà,41.373509,2.171002
233,Nou de la Rambla,41.371965,2.166871
234,Passeig de l'Exposició,41.371515,2.162166
235,Paral.lel,41.375065,2.165839
236,Avinguda Paral.lel,41.375127,2.152769
237,Rius i Taulet,41.372891,2.154471
238,Espronceda,41.415684,2.190986
239,Indústria,41.417323,2.184534
240,Josep Estivill,41.417763,2.187558
241,Teodor Llorente,41.419337,2.180482
242,Ramon Albó,41.424451,2.177284
243,Alenxadre Galí,41.423939,2.181298
244,Felip II,41.426896,2.178511
246,Garcilaso,41.422844,2.186637
247,Felipe II,41.421992,2.184806
248,Palència,41.418208,2.190374
249,Açores,41.425216,2.188997
250,Portugal,41.425905,2.19115
251,Cardenal Tedeschini,41.425405,2.185226
252,Rambla Onze de Setembre,41.429953,2.193185
253,Onze de Setembre,41.429977,2.191821
254,Gran de Sant Andreu,41.429985,2.190163
255,Irlanda,41.431183,2.185852
256,Malats,41.43608,2.189542
257,Sant Adrià,41.433897,2.189614
258,Fernando Pessoa,41.442167,2.193032
259,Carrer de Bartrina,41.439109,2.185818
260,Plaça de l'Estació,41.436163,2.192994
261,Villarroel,41.382206,2.160644
262,Rocafort,41.379821,2.152496
263,Pg.Torras i Bages,41.437814,2.191039
264,República Dominicana,41.439949,2.197033
265,Casanovas,41.385467,2.158532
266,Concepció Arenal,41.426841,2.184238
267,Passeig Torras i Bages,41.443395,2.190623
268,Fernando Pessoa,41.445705,2.192892
269,Via Barcino,41.448128,2.192826
270,Crta. de Ribes (Trinitat Vella),41.448628,2.18976
271,Via Barcino,41.450634,2.192335
272,Concepció Arenal,41.432559,2.184264
273,Avda. Meridiana,41.430404,2.183382
274,Rambla Fabra i Puig,41.430092,2.184898
275,Rio de Janeiro,41.430693,2.182225
276,Plaça Alfons X el Savi / Ronda del Guinardó,41.412163,2.165275
277,Travessera de Gràcia,41.408284,2.16905
278,Travessera de Gràcia,41.409815,2.171621
279,Mas Casanovas,41.415951,2.174564
280,Sant Antoni Mª Claret,41.413986,2.177842
281,Escornalbou,41.418088,2.176313
282,Font d'en Fargas,41.427561,2.166022
283,Carrer Fulton,41.42968,2.16157
284,Ada. Diagonal,41.389503,2.131454
285,Malats,41.436708,2.186059
286,Bolívia,41.403103,2.191428
287,Gran Via,41.389171,2.168113
288,Pl. Virrei Amat,41.429636,2.174487
289,Múrcia,41.416828,2.191022
290,Plaça dels Jardins d'Alfàbia,41.437094,2.174047
291,Cubelles,41.425897,2.17505
292,Amilcar,41.430036,2.171974
293,Granollers,41.428388,2.163101
294,Seu del Districte (Nou Barris),41.436373,2.170678
295,Sant Iscle,41.43345,2.1715
296,Carrer de Rosselló i Porcel,41.436505,2.183877
297,Carrer Turó Blau,41.438864,2.176822
298,Andreu Nin,41.43463,2.181747
299,Carrer de l'Escultor Ordóñez,41.433965,2.175199
300,Carrer de Maladeta,41.431593,2.176909
301,Marie Curie,41.437053,2.169644
302,Cavallers,41.39065,2.111615
303,Cavallers,41.393341,2.115076
304,Manuel Girona,41.390208,2.121029
305,Diagonal,41.387498,2.123637
306,Doctor Salvador Cardenal,41.385465,2.122912
307,Pintor Ribalta,41.379135,2.113505
308,Cardenal Reig,41.376788,2.113864
309,Sant Ramón Nonat,41.37674,2.116973
310,Josep Samitier,41.381223,2.119077
311,Gallego-Arístides Maillol,41.378638,2.120393
312,Arizala,41.379046,2.123253
313,Feliu de Casanova,41.375366,2.129847
314,Rambla del Brasil,41.37836,2.129737
315,Guinardó,41.415617,2.181966
316,Cantàbria,41.422212,2.198316
317,Rambla Prim,41.425566,2.200693
318,Cartagena,41.413406,2.171331
319,Saguès,41.393713,2.145584
320,Vía Augusta,41.401118,2.147989
321,Carrer de Sant Hermenegild,41.403054,2.144549
322,Santaló,41.400977,2.13907
323,Vallmajor,41.397996,2.138717
324,Reina Victoria,41.396938,2.136258
325,Alt de Gironella,41.39493,2.130325
326,Balmes,41.407384,2.1383
327,Reus,41.405,2.13453
328,Artesa de Segre,41.40293,2.13427
329,Carrer de les Escoles Pies,41.402879,2.128541
330,Doctor Carulla,41.400587,2.130658
331,Castellnou,41.39706,2.12801
332,Doctor Roux,41.399833,2.128083
333,Passatge de Senillosa,41.395632,2.125106
334,Via Augusta,41.400722,2.123268
335,Santa Amèlia,41.393639,2.123224
336,Caponata,41.395274,2.120973
337,Carme Karr,41.398719,2.120422
338,Avinguda de J.Foix,41.397572,2.119506
339,Ramon Turró,41.401662,2.205277
340,Sant Adrià,41.43619,2.204573
341,Pl. Mossèn Joan Cortines,41.433958,2.206166
342,Roc Boronat,41.403502,2.193702
343,Campana de la Maquinista,41.438886,2.199598
344,Ciutat d'Asunción,41.443127,2.199538
345,Pl. Teresa de Claramunt,41.363093,2.139771
346,Carrer de la Foneria,41.360654,2.139132
347,Alts Forns,41.359496,2.14182
348,Jardins de Can Ferrero,41.357067,2.141563
349,Carrer de l'Energia,41.357338,2.137172
350,Villarroel,41.391833,2.14812
351,Jane Addams,41.362135,2.135637
352,Radi,41.36335,2.134144
353,Munné,41.375414,2.123191
354,Rambla del Brasil,41.37592,2.13008
355,Carreras i Candi,41.37211,2.12859
356,Camèlies,41.413425,2.163411
357,Cardener,41.410538,2.1581
358,Gombau,41.387225,2.17927
359,Méndez Núñez,41.390021,2.177572
360,Bailén,41.395213,2.172984
361,Passeig de Colom,41.376292,2.178553
362,Bailén,41.397006,2.17057
363,Bruc,41.39076,2.1744
364,Passeig de Gràcia,41.39324,2.16343
365,Viladomat,41.387499,2.14702
366,Pau Casals,41.393037,2.14358
367,Sentmenat,41.385057,2.137331
368,Diputació,41.396815,2.175714
369,Consell de Cent,41.400168,2.177948
370,Sardenya,41.403735,2.172987
371,Carrer dels Enamorats,41.404027,2.181264
372,Ribes,41.400167,2.184362
373,Av. Paral.lel,41.375073,2.161305
374,Passeig de Gràcia,41.395,2.16123
375,World Trade Center,41.372154,2.180701
376,World Trade Center,41.371663,2.180302
377,Pl. Ictíneo,41.37747,2.183737
378,Pl.Joaquim Xira i Palau,41.378516,2.176716
379,Pl. Sant Miquel,41.381709,2.177308
380,Duran i Bas,41.385463,2.174252
381,Agustí Duran i Sanpere,41.381686,2.167816
382,Lope de Vega,41.403938,2.204188
384,Vilamarí,41.380708,2.146793
385,Casanova,41.387978,2.155266
386,Av.Paral.lel,41.375086,2.156848
387,Nàpols,41.395796,2.178784
388,Riera Alta,41.380593,2.167418
389,Recinte Parc de la Ciutadella,41.38739,2.1875
390,Comerç,41.386955,2.18195
391,Sagrera,41.422873,2.191204
392,Ramon Turró,41.390595,2.190681
393,Llacuna,41.402177,2.197653
394,Diputació,41.387151,2.162838
395,Pl. Catalunya,41.386009,2.170212
396,Joan Miró,41.389028,2.196844
397,Av. Del Litoral,41.388894,2.199334
398,Passeig Marítim de la Barceloneta,41.381011,2.193502
400,Moll Oriental,41.36958,2.188017
401,Pl. Antonio López (Via Laietana) annexa a la 37,41.381241,2.181838
402,Passeig de Colom,41.380705,2.182415
404,Juan Gris,41.365374,2.133087
405,Comte Borrell,41.38551,2.152
406,Gran Via de Les Corts Catalanes,41.386512,2.164597
407,Ramon Trias Fargas,41.388471,2.192835
408,Ramon Trias Fargas,41.388988,2.192283
409,Joan d'Àustria,41.392272,2.192556
410,"Passeig de Colom, s/n",41.376433,2.17871
412,Pl. Urquinaona,41.389012,2.172667
413,Bruc,41.393512,2.170718
414,Casp,41.393744,2.176451
415,Rambla del Raval,41.379374,2.168921
416,Rambla del Raval,41.378134,2.16965
418,Passeig de Lluís Companys,41.390943,2.180251
419,Passeig de Lluís Companys,41.391299,2.180828
420,Gran Via,41.374213,2.148082
421,Plaça de Joan Peiró,41.378031,2.139124
423,Carrer d'Hondures,41.420201,2.189532
424,"Passeig Marítim de la Barceloneta, devant del 5-7",41.379632,2.192662
425,Carrer de Cervelló,41.37652,2.1749
426,Carrer de Ribes,41.398305,2.183023
427,Carrer de Sant Pau,41.375336,2.168007
428,Carrer Pujades,41.398389,2.196261
451,(PK) C/ JAUME FABRA,41.37445,2.159668
452,(PK) C/ PADILLA,41.398747,2.186289
453,(PK) C/ URGELL,41.379563,2.16204
454,(PK) C/ BILBAO,41.402448,2.204131
